"filename", "language", "JSON", "Markdown", "YAML", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "JavaScript", "PostCSS", "MS SQL", "HTML", "Properties", "comment", "blank", "total"
"c:\Servers\Foundry\apps\keycloak-theme\src\email\constants.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Servers\Foundry\apps\keycloak-theme\src\email\i18n.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 6, 10, 97
"c:\Servers\Foundry\apps\keycloak-theme\src\email\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 17, 135
"c:\Servers\Foundry\apps\keycloak-theme\src\email\locales\ar\translation.json", "JSON", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\Servers\Foundry\apps\keycloak-theme\src\email\locales\en\translation.json", "JSON", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\Servers\Foundry\apps\keycloak-theme\src\email\locales\fr\translation.json", "JSON", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\assets\company-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\email-test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 14, 96
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\email-update-confirmation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 13, 82
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\email-verification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 12, 75
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-login_error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-remove_credential.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-remove_totp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-update_credential.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-update_password.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-update_totp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-user_disabled_by_permanent_lockout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 12, 62
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\event-user_disabled_by_temporary_lockout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\executeActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 15, 82
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\identity-provider-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 13, 89
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\org-invite.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 14, 88
"c:\Servers\Foundry\apps\keycloak-theme\src\email\templates\password-reset.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 11, 76
"c:\Servers\Foundry\apps\keycloak-theme\src\email\utils\RTL.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Servers\Foundry\apps\keycloak-theme\src\email\utils\previewLocale.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Servers\Foundry\apps\keycloak-theme\src\kc.gen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 13, 16, 57
"c:\Servers\Foundry\apps\keycloak-theme\src\login\KcContext.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"c:\Servers\Foundry\apps\keycloak-theme\src\login\KcPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Servers\Foundry\apps\keycloak-theme\src\login\assets\fonts\geist\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 10, 10, 80
"c:\Servers\Foundry\apps\keycloak-theme\src\login\assets\fonts\inter\inter.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Servers\Foundry\apps\keycloak-theme\src\login\assets\img\auth-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Servers\Foundry\apps\keycloak-theme\src\login\assets\img\shape.svg", "XML", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\LogoutOtherSessions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\PasswordVisibilityButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\Template\Template.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 6, 21, 276
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\Template\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\Template\useAuthChecker.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 17, 20, 104
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\Template\useInitializeTemplate.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\AddRemoveButtonsMultiValuedAttribute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\DO_MAKE_USER_CONFIRM_PASSWORD.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\FieldErrors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\GroupLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 12, 66
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\InputFieldByType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 2, 6, 59
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\InputLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\InputTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 14, 99
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\InputTagSelects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 18, 128
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\SelectTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 1, 13, 113
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\TextareaTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\UserProfileFormFields.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 12, 95
"c:\Servers\Foundry\apps\keycloak-theme\src\login\components\UserProfileFormFields\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Servers\Foundry\apps\keycloak-theme\src\login\i18n.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 3, 48
"c:\Servers\Foundry\apps\keycloak-theme\src\login\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Servers\Foundry\apps\keycloak-theme\src\login\mocks\KcPageStory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Servers\Foundry\apps\keycloak-theme\src\login\mocks\getKcContextMock.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Servers\Foundry\apps\keycloak-theme\src\login\pages\PageIndex.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 4, 131
"c:\Servers\Foundry\apps\keycloak-theme\src\login\pages\code\Page.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 8, 10, 87
